排名,学校名称,省市,总分,生源质量（新生高考成绩得分）,培养结果（毕业生就业率）,社会声誉（社会捐赠收入·千元）,科研规模（论文数量·篇）,科研质量（论文质量·FWCI）,顶尖成果（高被引论文·篇）,顶尖人才（高被引学者·人）,科技服务（企业科研经费·千元）,成果转化（技术转让收入·千元）,学生国际化（留学生比例）
178,内蒙古大学,内蒙古,30.1,51.3,84.30%,0,1914,0.860,21,0,0,0,1.84%
178,中国人民公安大学,北京,30.1,56.2,94.90%,0,181,0.577,0,0,0,0,0.00%
183,青岛科技大学,山东,30.0,41.6,93.41%,3425,3223,1.074,65,2,48817,35,0.17%
183,西南石油大学,四川,30.0,41.4,95.68%,15350,4744,0.706,61,1,277763,80920,0.04%
185,武汉纺织大学,湖北,29.9,44.6,94.04%,52207,1150,0.990,8,1,45382,510,0.67%
185,中国民航大学,天津,29.9,52.4,95.63%,1647,1535,0.628,21,0,46289,0,0.02%
187,华北理工大学,河北,29.8,47.3,96.22%,0,2910,0.780,48,0,11182,300,0.74%
187,南京林业大学,江苏,29.8,46.4,98.28%,670,3564,0.773,35,0,27078,4900,0.27%
187,西安建筑科技大学,陕西,29.8,52.2,96.91%,27511,4089,0.470,20,1,117182,901,0.02%
190,北方工业大学,北京,29.7,47.6,99.26%,0,1037,0.724,20,0,35286,0,2.42%
190,河北科技大学,河北,29.7,49.7,96.16%,0,1587,0.667,15,1,87980,3080,0.44%
190,上海电力大学,上海,29.7,42.6,97.87%,1059,1592,0.995,39,1,35594,0,0.40%
193,安徽师范大学,安徽,29.6,43.1,93.92%,3908,2154,1.018,37,0,22229,50,0.40%
193,哈尔滨师范大学,黑龙江,29.6,47.9,81.85%,1220,1362,1.027,20,0,1500,0,0.76%
193,湖南农业大学,湖南,29.6,42.4,94.48%,889,2356,0.993,43,0,37588,12700,0.16%
193,上海海洋大学,上海,29.6,43.7,96.73%,338,2906,0.867,49,0,20248,20023,0.26%
193,上海立信会计金融学院,上海,29.6,51.1,95.61%,401,272,0.670,1,0,0,0,1.75%
193,四川师范大学,四川,29.6,47.0,0,1345,1.327,29,3,10000,0,0.21%
199,辽宁工业大学,辽宁,29.5,29.4,95.88%,796,931,>1.560,66,1,0,0,2.85%
200,沈阳航空航天大学,辽宁,29.4,46.5,96.12%,0,1377,0.664,8,1,39000,0,6.22%
201,湖南工业大学,湖南,29.3,38.0,91.09%,0,1154,1.279,57,0,2174,0,0.00%
202,江西师范大学,江西,29.2,40.3,90.75%,7712,2689,1.112,58,0,3559,0,0.53%
202,西华师范大学,四川,29.2,35.3,95.04%,2239,1158,1.316,54,1,10431,0,0.08%
204,福建农林大学,福建,29.1,39.2,97.24%,12871,3149,1.012,43,1,27582,179,0.73%
204,天津理工大学,天津,29.1,40.9,90.66%,1038,2471,1.047,51,0,66005,218,0.38%
206,安徽农业大学,安徽,29.0,44.2,96.33%,0,1990,0.838,15,0,55812,3330,0.53%
206,兰州交通大学,甘肃,29.0,43.8,97.12%,1067,2310,0.804,67,0,45010,70,0.58%
206,陕西科技大学,陕西,29.0,47.2,93.60%,0,2450,0.741,17,1,21152,1705,0.00%
209,集美大学,福建,28.9,46.1,96.60%,18345,1294,0.754,15,0,33343,1120,0.28%
210,长春理工大学,吉林,28.8,50.6,90.05%,890,2843,0.573,11,1,31976,20,0.93%
210,重庆交通大学,重庆,28.8,44.3,95.02%,1941,1556,0.662,33,1,102826,50691,0.52%
210,中南林业科技大学,湖南,28.8,45.9,94.73%,239,1687,0.766,31,0,29810,4876,0.04%
213,重庆师范大学,重庆,28.7,42.0,92.16%,6562,1354,0.968,30,0,8602,7541,0.48%
213,湖南科技大学,湖南,28.7,46.1,92.38%,24,2234,0.758,38,0,55926,0,0.00%
213,江汉大学,湖北,28.7,42.9,93.03%,158,827,0.958,11,0,5121,0,0.57%
216,成都理工大学,四川,28.6,47.8,93.85%,0,3681,0.569,22,0,108081,4260,0.00%
216,河南理工大学,河南,28.6,43.2,94.65%,520,3954,0.750,42,0,36575,17320,0.00%
216,辽宁师范大学,辽宁,28.6,48.4,92.58%,186,1642,0.670,9,0,1684,0,1.06%
219,南华大学,湖南,28.5,45.4,94.52%,307,2683,0.720,25,0,21835,150,0.48%
220,长江大学,湖北,28.4,43.3,93.44%,4204,2704,0.684,24,0,107235,500,3.96%
220,重庆理工大学,重庆,28.4,39.1,94.53%,3036,1536,0.715,17,0,130058,112000,0.27%
220,武汉轻工大学,湖北,28.4,41.4,93.94%,980,1027,0.969,25,0,6403,370,0.00%
220,云南师范大学,云南,28.4,39.2,97.40%,0,1543,0.941,25,0,4302,0,2.45%
224,闽南师范大学,福建,28.3,36.4,96.64%,0,532,1.180,10,0,231,0,0.02%
224,山西财经大学,山西,28.3,51.5,90.51%,0,166,0.585,0,0,0,0,0.10%
226,河南工业大学,河南,28.2,41.5,94.36%,0,2059,0.820,25,1,156416,460,0.08%
226,湖州师范学院,浙江,28.2,35.4,96.04%,0,883,1.069,27,0,10295,9,4.46%
226,西安邮电大学,陕西,28.2,48.7,92.83%,0,909,0.605,13,0,45621,100,0.00%
229,广西民族大学,广西,28.1,39.6,96.91%,19032,764,0.912,13,0,1448,0,2.38%
229,湖北经济学院,湖北,28.1,47.1,92.68%,2014,194,0.720,1,0,0,0,0.04%
229,山西师范大学,山西,28.1,46.0,91.20%,0,1303,0.746,8,1,340,0,0.05%
229,苏州科技大学,江苏,28.1,43.1,97.62%,0,1562,0.762,14,0,50333,174,0.18%
229,天津科技大学,天津,28.1,41.6,95.75%,0,3054,0.818,20,0,33469,430,0.23%
234,湖北第二师范学院,湖北,28.0,36.6,88.30%,0,283,1.260,3,0,0,0,0.00%
234,吉林师范大学,吉林,28.0,44.3,95.78%,1261,1100,0.746,7,0,480,0,0.52%
234,郑州师范学院,河南,28.0,33.9,93.73%,0,134,1.315,4,0,90,0,0.00%
237,哈尔滨理工大学,黑龙江,27.9,46.5,92.54%,1655,3043,0.599,29,0,21840,380,0.17%
237,河北农业大学,河北,27.9,47.3,89.76%,0,2002,0.625,10,0,25239,10630,0.14%
237,吉首大学,湖南,27.9,42.9,94.59%,2832,780,0.831,6,0,3959,20,0.00%
240,北京信息科技大学,北京,27.8,45.7,99.45%,0,1005,0.577,11,0,33223,0,0.58%
240,西北师范大学,甘肃,27.8,42.0,77.69%,0,2977,0.972,51,1,12610,0,1.16%
240,浙江外国语学院,浙江,27.8,39.2,97.10%,0,119,0.970,0,0,0,0,0.22%
240,中北大学,山西,27.8,47.7,92.30%,3100,3809,0.507,14,0,77049,0,0.00%
244,贵州大学,贵州,27.7,42.2,88.09%,2321,3413,0.786,40,1,57228,2000,0.50%
244,湖南商学院,湖南,27.7,40.1,95.97%,380,257,0.926,11,0,39,0,0.02%
246,河南财经政法大学,河南,27.6,45.7,91.32%,0,250,0.740,0,0,0,0,0.00%
246,淮北师范大学,安徽,27.6,36.2,90.37%,0,1012,1.141,31,0,2890,80,0.00%
